Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 13/05/2026
Comparison Date: 06/05/2026
Total Yarding: 1252 (-299)
Commentary
"Light rain overnight and intermittent showers throughout the sale saw Singleton agents yard 1252 cattle, 300 head less than last week. Supplementary fed trade cattle making up to 568c/kg the highlight.

Fair supplies of light steer calves sold to slightly dearer rates making from 366c to 496c/kg, medium weights cheaper by 5c to 12c/kg and sold from 406c to 490c/kg. Light heifer calves saw a rise of 25c/kg trading from 310c to 388c/kg, B muscles out to 420c/kg and light trade calves to 430c/kg. Heavy trade calves around 400kg sold between 466c and 568c/kg. 

Heavy yearling steers over 400kg to the lot feeders 14c/kg dearer making from 430c to 468c/kg and same weight heifers traded between 380c and 424c/kg averaging 418c/kg. Heavy grown heifers and Bullocks to process 350c to 430c/kg.

Around 200 cows offered lighter types to process either side of firm 205c to 310c/kg, heavy cows with weight, shape and condition 9c to 24c/kg better off making between 302c and 368c/kg.

Market Operator Angus Barlow"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,16,14,394.0,406.0,400,5.0,757.7,780.8,769.2,1359.3,1400.7,1380
Yearling Steer,330-400,Feeder,C,3,7,NQ,450.0,462.0,453.42857142857144,NQ,849.1,871.7,855.5,1617.0,1642.5,1635.2142857142858
Yearling Steer,330-400,Restocker,C,2,3,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1156.0,1156.0,1156
Yearling Steer,400+,Feeder,C,3,34,-28,430.0,468.0,443.6470588235294,13.9,811.3,866.7,836.6,1826.0,2211.9,2006.6058708639705
Yearling Steer,400+,Processor,B,4,3,NQ,500.0,500.0,500,NQ,892.9,892.9,892.9,2575.0,2575.0,2575
Yearling Heifer,330-400,Feeder,C,2,2,-11,330.0,330.0,330,-23.5,634.6,634.6,634.6,1138.5,1138.5,1138.5
Yearling Heifer,330-400,Feeder,C,3,19,-5,350.0,426.0,400.2105263157895,19.5,660.4,803.8,756.7,1277.5,1518.4,1427.0894775390625
Yearling Heifer,400+,Feeder,C,2,3,NQ,320.0,370.0,336.6666666666667,NQ,640.0,740.0,673.3,1488.0,1628.0,1534.6666666666667
Yearling Heifer,400+,Feeder,C,3,51,50,380.0,424.0,417.4901960784314,27.5,717.0,807.7,789.5,1710.0,2049.3,1865.1431525735295
Yearling Heifer,400+,Processor,C,3,2,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1513.0,1513.0,1513
Vealer Steer,0-200,Restocker,C,2,10,-2,320.0,450.0,409,-21.0,615.4,865.4,786.5,480.0,787.5,645.75
Vealer Steer,200-280,Processor,C,3,2,NQ,250.0,280.0,265,NQ,480.8,538.5,509.6,662.5,742.0,702.25
Vealer Steer,200-280,Restocker,B,2,3,NQ,422.0,422.0,422,NQ,796.2,796.2,796.2,1118.3,1118.3,1118.300048828125
Vealer Steer,200-280,Restocker,B,3,13,NQ,428.0,454.0,440.9230769230769,NQ,807.5,856.6,821.3,1048.6,1203.1,1177.0230149489182
Vealer Steer,200-280,Restocker,C,2,137,-18,366.0,496.0,461.6058394160584,3.4,703.8,953.8,887.7,846.4,1314.4,1148.837237504277
Vealer Steer,200-280,Restocker,C,3,11,-26,456.0,478.0,476,-8.1,860.4,901.9,898.1,1195.0,1231.2,1198.2909046519887
Vealer Steer,280-330,Feeder,B,3,7,-2,406.0,406.0,406,-29.8,751.9,751.9,751.9,1218.0,1218.0,1218
Vealer Steer,280-330,Restocker,B,3,6,NQ,470.0,470.0,470,NQ,870.4,870.4,870.4,1480.5,1480.5,1480.5
Vealer Steer,280-330,Restocker,C,2,14,4,406.0,490.0,455.42857142857144,-5.6,780.8,942.3,875.8,1218.0,1470.0,1398.4285714285713
Vealer Steer,280-330,Restocker,C,3,28,4,450.0,480.0,468.57142857142856,-12.7,849.1,905.7,881.8,1311.0,1488.0,1423.2857142857142
