Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 20/05/2026
Comparison Date: 13/05/2026
Total Yarding: 880 (-372)
Commentary
"Rainfall of 30–40mm across the district saw Singleton agents yard a reduced offering of 880 cattle, down 372 head on last week. Weaner calves under 280kg dominated the yarding, with overall quality considered good. Very few yearlings were offered, along with around 140 cows. Processors competed strongly for cows and the occasional grown steer and heifer, while renewed re-stocker interest following the rain event helped drive a positive market across most grades presented.

Light steer calves jumped 20c to 44c/kg selling between 392c and 534c/kg averaging around 500c/kg. Light heifer calves saw even greater gains making between 250c and 460c/kg averaging around 400c/kg. 

Quality was up on yearling steers to feed on which saw big gains from last week and the few medium and heavy weights sold between 450c and 496c/kg. Same spike on yearling heifers with very few numbers and made from 424c to 484c/kg.

2 score cows to both process and re-stock jumped sharply 140c to 324c/kg, heavy 3 score cows were up by 26c/kg making from 320c to 376c/kg and the prime heavy 4 scores increased 22c/kg selling from 366c to 386c/kg. A dispersal of Angus Bulls saw re-stockers pay between 380c and 505c/kg, those going to the processors made between 300c and 394c/kg. 

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,10,NQ,440.0,440.0,440,NQ,846.2,846.2,846.2,1188.0,1188.0,1188
Yearling Steer,330-400,Feeder,C,2,19,3,496.0,496.0,496,96.0,953.8,953.8,953.8,1711.2,1711.2,1711.1999383223683
Yearling Steer,400+,Feeder,C,2,3,NQ,450.0,450.0,450,NQ,865.4,865.4,865.4,1867.5,1867.5,1867.5
Yearling Heifer,200-280,Feeder,C,2,22,NQ,420.0,420.0,420,NQ,807.7,807.7,807.7,1176.0,1176.0,1176
Yearling Heifer,280-330,Feeder,C,2,15,NQ,448.0,448.0,448,NQ,861.5,861.5,861.5,1344.0,1344.0,1344
Yearling Heifer,330-400,Feeder,C,3,11,-8,484.0,484.0,484,83.8,930.8,930.8,930.8,1766.6,1766.6,1766.5999644886363
Yearling Heifer,400+,Feeder,C,3,1,-50,424.0,424.0,424,6.5,815.4,815.4,815.4,1886.8,1886.8,1886.800048828125
Yearling Heifer,400+,Processor,B,3,1,NQ,466.0,466.0,466,NQ,863.0,863.0,863.0,2260.1,2260.1,2260.10009765625
Vealer Steer,0-200,Restocker,C,2,67,57,300.0,536.0,485.4029850746269,76.4,576.9,1030.8,933.5,450.0,961.2,845.0656847597947
Vealer Steer,200-280,Restocker,B,2,5,2,450.0,450.0,450,28.0,849.1,849.1,849.1,1012.5,1012.5,1012.5
