Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 27/05/2026
Comparison Date: 20/05/2026
Total Yarding: 1097 (+217)
Commentary
"With the rain yet to hit the drawing area numbers were up by 200 head as Singleton agents penned 1097 cattle. The magical $6 mark was broken through for steer calves as the $5 mark was broken through for heifer calves on a day where commission buyers had fistfuls of new orders following the rain event statewide.

Under 200kg steer calves up to 100c/kg dearer 570c to 612c/kg, next level up to 62c/kg better off making from 472c to 598c/kg averaging 567c/kg. Light heifer calves sold 50c/kg dearer 434c to 544c/kg with local trade calves making from 450c to 538c/kg. 

The few medium and heavy weight feeder yearling steers sold in a range of 388c to 502c/kg, same article in the yearling heifers made from 332c to 466c/kg with the over 400kg heavy weights averaging around 455c/kg.

Heavy steers and Bullocks to process made from 398c to 480c/kg. Heavy grown heifers 378c to 420c/kg. Despite a southern processor not operating the 150 cows rallied with light 2 scores selling between 240c and 340c/kg, heavy 3 and 4 scores improved 26c/kg trading between 350c and 411c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,4,NQ,438.0,438.0,438,NQ,842.3,842.3,842.3,1248.3,1248.3,1248.300048828125
Yearling Steer,330-400,Feeder,C,2,15,-4,438.0,502.0,443.2,-52.8,858.8,965.4,867.8,1642.5,1731.9,1651.9600016276042
Yearling Steer,330-400,Feeder,C,3,13,NQ,494.0,494.0,494,NQ,932.1,932.1,932.1,1877.2,1877.2,1877.199969951923
Yearling Steer,330-400,Processor,C,4,3,NQ,490.0,490.0,490,NQ,907.4,907.4,907.4,1837.5,1837.5,1837.5
Yearling Steer,400+,Feeder,C,3,21,NQ,388.0,490.0,471.9047619047619,NQ,732.1,924.5,890.4,1804.2,2278.5,2051.5809209914432
Yearling Steer,400+,Processor,C,4,1,NQ,480.0,480.0,480,NQ,872.7,872.7,872.7,2184.0,2184.0,2184
Yearling Heifer,200-280,Restocker,C,2,37,NQ,418.0,446.0,423.2972972972973,NQ,836.0,857.7,840.1,1128.6,1181.9,1138.6837785050675
Yearling Heifer,280-330,Feeder,C,2,6,-9,456.0,456.0,456,8.0,876.9,876.9,876.9,1459.2,1459.2,1459.1998697916667
Yearling Heifer,280-330,Processor,C,2,4,NQ,308.0,308.0,308,NQ,641.7,641.7,641.7,924.0,924.0,924
Yearling Heifer,280-330,Restocker,C,2,7,NQ,440.0,440.0,440,NQ,846.2,846.2,846.2,1254.0,1254.0,1254
Yearling Heifer,330-400,Feeder,C,2,24,NQ,332.0,430.0,376.3333333333333,NQ,691.7,860.0,739.8,1211.8,1569.5,1312.4083455403645
Yearling Heifer,330-400,Feeder,C,3,14,3,438.0,458.0,450,-34.0,842.3,864.2,854.7,1520.9,1763.3,1652.571498325893
Yearling Heifer,330-400,Processor,B,4,1,NQ,485.0,485.0,485,NQ,850.9,850.9,850.9,1770.3,1770.3,1770.25
Yearling Heifer,330-400,Processor,D,2,9,NQ,340.0,340.0,340,NQ,693.9,693.9,693.9,1241.0,1241.0,1241
Yearling Heifer,400+,Feeder,C,3,11,10,448.0,466.0,454.54545454545456,30.5,845.3,896.2,863.7,1910.6,2139.0,1995.7636274857955
Yearling Heifer,400+,Processor,C,4,8,NQ,468.0,490.0,484.5,NQ,850.9,890.9,880.9,2033.5,2129.4,2057.4749755859375
Vealer Steer,0-200,Restocker,C,2,21,-46,570.0,612.0,591.2380952380952,105.8,1096.2,1176.9,1137.0,731.3,979.2,884.7904808407739
Vealer Steer,200-280,Restocker,B,2,18,13,504.0,544.0,526.2222222222222,76.2,950.9,1046.2,1003.8,1142.4,1310.4,1217.066677517361
Vealer Steer,200-280,Restocker,B,3,7,-19,530.0,535.0,530.7142857142857,68.1,946.4,1009.4,955.4,1337.5,1431.0,1417.642857142857
Vealer Steer,200-280,Restocker,C,2,164,51,472.0,598.0,567.829268292683,62.4,907.7,1150.0,1092.0,1062.0,1609.2,1381.645117782965
Vealer Steer,280-330,Feeder,B,3,6,NQ,578.0,578.0,578,NQ,1090.6,1090.6,1090.6,1647.3,1647.3,1647.3001302083333
