Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 03/06/2026
Comparison Date: 27/05/2026
Total Yarding: 1486 (+389)
Commentary
"Numbers were up by nearly 400 head which saw Singleton agents pen 1486 cattle, quality was very good, as were the prices. 

Big runs of steer and heifer calves saw buyers able to secure numbers and resulted in light steer calves improving by 21c/kg making from 405c to 620c/kg with medium and heavy weights over 330kg to both restock and feed sell between 480c and 586c/kg. Numbers of heifer calves nearly doubled their steer counterparts to be 30c/kg dearer selling from 350c to 514c/kg averaging around 490c/kg.

There were some exceptional supplementary fed B muscle steer and heifer calves and attracted strong competition from the trade buyers to be 26c/kg dearer making from 554c to 578c/kg. Quality related rises in medium and heavy yearling steers to feed on and sold between 410c and 538c/kg. Too few yearling heifers to gain a reliable trend but the heavy weights over 400kg to the lot feeders topped at 536c/kg.

Just on 200 cows were offered, lighter 2 scores sold from 240c to 345c/kg, the 3 and 4 score heavy weight cows held firm to 2c/kg dearer and traded from 350c to 420c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,32,17,410.0,538.0,530,86.8,788.5,1054.9,1035.1,1476.0,2071.3,2009.859375
Yearling Steer,330-400,Restocker,C,2,16,NQ,438.0,554.0,502.875,NQ,842.3,1065.4,967.1,1467.3,1883.6,1719.6500091552734
Yearling Steer,400+,Feeder,C,2,16,NQ,484.0,518.0,513.75,NQ,930.8,996.2,988.0,1960.2,2097.9,2080.6873474121094
Yearling Steer,400+,Feeder,C,3,1,-20,518.0,518.0,518,46.1,977.4,977.4,977.4,2227.4,2227.4,2227.39990234375
Yearling Steer,400+,Processor,B,4,2,NQ,468.0,468.0,468,NQ,835.7,835.7,835.7,2129.4,2129.4,2129.39990234375
Yearling Heifer,0-200,Restocker,D,2,5,NQ,255.0,255.0,255,NQ,554.3,554.3,554.3,420.8,420.8,420.75
Yearling Heifer,200-280,Restocker,C,2,7,-30,380.0,436.0,404,-19.3,730.8,872.0,791.3,969.0,1155.4,1048.8857421875
Yearling Heifer,200-280,Restocker,D,2,6,NQ,250.0,250.0,250,NQ,543.5,543.5,543.5,600.0,600.0,600
Yearling Heifer,280-330,Processor,D,2,6,NQ,286.0,286.0,286,NQ,608.5,608.5,608.5,815.1,815.1,815.0999348958334
Yearling Heifer,330-400,Feeder,B,3,2,NQ,480.0,510.0,495,NQ,923.1,980.8,951.9,1704.0,1887.0,1795.5
Yearling Heifer,330-400,Feeder,C,2,5,-19,420.0,420.0,420,43.7,823.5,823.5,823.5,1491.0,1491.0,1491
Yearling Heifer,330-400,Restocker,C,2,3,NQ,490.0,490.0,490,NQ,942.3,942.3,942.3,1666.0,1666.0,1666
Yearling Heifer,400+,Feeder,C,3,13,2,470.0,536.0,526.3076923076923,71.8,886.8,1011.3,993.0,2251.2,2541.4,2372.2230318509614
Vealer Steer,0-200,Restocker,C,2,69,48,405.0,614.0,545.2753623188406,-46.0,778.8,1228.0,1076.5,607.5,1094.4,848.0710236922554
Vealer Steer,200-280,Restocker,B,3,6,-1,534.0,534.0,534,3.3,988.9,988.9,988.9,1388.4,1388.4,1388.4000651041667
Vealer Steer,200-280,Restocker,C,2,169,5,500.0,620.0,589.0295857988166,21.2,961.5,1192.3,1132.7,1150.0,1657.8,1470.2538513544748
Vealer Steer,200-280,Restocker,C,3,13,NQ,560.0,616.0,603.0769230769231,NQ,1056.6,1162.3,1137.9,1484.0,1601.6,1574.4615384615386
Vealer Steer,280-330,Processor,B,3,1,NQ,554.0,554.0,554,NQ,989.3,989.3,989.3,1745.1,1745.1,1745.0999755859375
Vealer Steer,280-330,Restocker,C,2,20,NQ,586.0,586.0,586,NQ,1126.9,1126.9,1126.9,1875.2,1875.2,1875.2
Vealer Steer,280-330,Restocker,C,3,20,-6,530.0,578.0,551.1,-13.5,1000.0,1090.6,1039.8,1537.0,1680.0,1629.6199890136718
Vealer Steer,330+,Feeder,B,3,10,NQ,580.0,580.0,580,NQ,1074.1,1074.1,1074.1,2001.0,2001.0,2001
Vealer Steer,330+,Feeder,C,3,7,NQ,480.0,530.0,502.85714285714283,NQ,905.7,981.5,943.5,1680.0,1881.5,1810.4285714285713
Vealer Steer,330+,Processor,B,3,7,NQ,564.0,578.0,568,NQ,989.5,1014.0,996.5,2030.4,2109.7,2053.05712890625
Vealer Steer,330+,Processor,C,3,4,NQ,550.0,550.0,550,NQ,1000.0,1000.0,1000.0,1925.0,1925.0,1925
Vealer Steer,330+,Restocker,C,2,10,NQ,558.0,558.0,558,NQ,1073.1,1073.1,1073.1,1869.3,1869.3,1869.3
Vealer Heifer,0-200,Restocker,B,2,2,NQ,422.0,422.0,422,NQ,811.5,811.5,811.5,633.0,633.0,633
Vealer Heifer,0-200,Restocker,C,2,51,13,355.0,485.0,416.7843137254902,-47.1,682.7,970.0,813.7,532.5,878.8,671.4166714537378
Vealer Heifer,200-280,Restocker,B,2,10,-19,484.0,484.0,484,28.6,930.8,930.8,930.8,1185.8,1185.8,1185.8
Vealer Heifer,200-280,Restocker,C,2,245,102,350.0,514.0,490.19591836734696,30.7,673.1,988.5,942.7,910.0,1411.2,1238.2800043845664
